invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,ssn,is_restricted
I160777,C626042,Female,43,Technology,4,4200.0,Cash,22/02/2022,Metrocity,000-81-8830,False
I137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,12/3/2021,Viaport Outlet,000-43-9577,False
I148377,C841663,Female,29,Clothing,1,300.08,Cash,2/1/2022,Istinye Park,000-64-9560,True
I258195,C213742,Male,43,Toys,2,71.68,Cash,26/11/2021,Kanyon,000-61-5930,False
I300213,C962515,Female,19,Clothing,4,1200.32,Credit Card,21/04/2021,Kanyon,000-38-2266,True
I263803,C112279,Female,67,Food & Beverage,3,15.69,Cash,23/06/2021,Kanyon,000-75-8085,True
I335713,C158837,Female,36,Books,4,60.6,Cash,14/12/2021,Kanyon,000-21-0771,True
I133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,9/6/2022,Mall of Istanbul,000-24-2504,False
I207205,C716161,Female,33,Clothing,1,300.08,Debit Card,26/11/2021,Kanyon,000-90-2621,True
I209289,C439382,Female,33,Clothing,4,1200.32,Credit Card,5/2/2021,Kanyon,000-97-6916,False
I157285,C123427,Male,66,Clothing,4,1200.32,Cash,6/3/2022,Mall of Istanbul,000-86-1040,False
I218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,9/5/2022,Metropol AVM,000-59-6252,True
I181109,C119549,Male,22,Toys,3,107.52,Cash,17/10/2022,Mall of Istanbul,000-86-7668,False
I221715,C187266,Female,63,Food & Beverage,3,15.69,Cash,22/01/2022,Cevahir AVM,000-77-4119,False
I204979,C173084,Female,24,Souvenir,5,58.65,Debit Card,14/03/2021,Istinye Park,000-80-0188,False
I115146,C126956,Female,24,Cosmetics,5,203.3,Cash,27/04/2022,Metrocity,000-97-1876,True
I883721,C236859,Female,44,Technology,5,5250.0,Credit Card,19/11/2021,Mall of Istanbul,000-97-8797,True
I402376,C309926,Male,34,Shoes,5,3000.85,Cash,10/9/2022,Forum Istanbul,000-44-5573,False
I251356,C493252,Female,47,Cosmetics,4,162.64,Cash,4/9/2021,Kanyon,000-24-4808,False
I292239,C109871,Male,38,Food & Beverage,5,26.15,Cash,21/08/2022,Mall of Istanbul,000-65-2591,False
I276526,C136117,Female,57,Shoes,5,3000.85,Debit Card,2/10/2021,Emaar Square Mall,000-68-0053,True
I260525,C258404,Male,67,Toys,3,107.52,Cash,7/1/2023,Emaar Square Mall,000-43-8201,False
I870944,C169749,Male,41,Souvenir,3,35.19,Credit Card,8/6/2021,Cevahir AVM,000-32-8317,False
I739573,C199947,Female,40,Clothing,5,1500.4,Debit Card,17/04/2021,Kanyon,000-23-4889,True
I115870,C135790,Female,69,Shoes,4,2400.68,Cash,4/9/2021,Metrocity,000-91-8317,False
I190444,C606418,Female,47,Food & Beverage,5,26.15,Cash,20/07/2022,Mall of Istanbul,000-87-3258,False
I309552,C111611,Female,53,Food & Beverage,4,20.92,Credit Card,14/07/2021,Istinye Park,000-29-6126,False
I306076,C679476,Male,40,Toys,2,71.68,Cash,1/11/2022,Emaar Square Mall,000-30-8837,True
I321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,6/1/2023,Metrocity,000-77-0009,True
I151332,C168491,Male,30,Souvenir,2,23.46,Cash,25/03/2021,Kanyon,000-86-5310,True
I340014,C169650,Female,66,Clothing,2,600.16,Credit Card,8/9/2022,Istinye Park,000-72-0319,True
I249424,C158160,Male,22,Food & Beverage,1,5.23,Cash,18/02/2022,Mall of Istanbul,000-24-5947,True
I227716,C552345,Male,53,Food & Beverage,2,10.46,Cash,22/04/2021,Kanyon,000-49-3923,False
I140663,C218383,Female,52,Clothing,5,1500.4,Cash,15/10/2022,Zorlu Center,000-17-3946,True
I253242,C309438,Male,26,Shoes,5,3000.85,Cash,7/4/2022,Mall of Istanbul,000-82-1290,False
I108359,C253905,Male,66,Food & Beverage,1,5.23,Cash,7/6/2022,Mall of Istanbul,000-20-7962,False
I195567,C992677,Male,65,Clothing,4,1200.32,Debit Card,22/01/2023,Metropol AVM,000-18-8727,True
I289643,C584700,Female,43,Technology,2,2100.0,Cash,22/08/2022,Kanyon,000-26-2103,True
I722319,C157070,Female,59,Toys,1,35.84,Debit Card,3/10/2021,Kanyon,000-94-7787,False
I317105,C177975,Female,30,Souvenir,5,58.65,Debit Card,29/07/2021,Kanyon,000-80-2705,False
I215721,C830576,Female,25,Cosmetics,2,81.32,Debit Card,16/12/2022,Metrocity,000-43-8645,False
I154469,C807389,Female,29,Toys,3,107.52,Debit Card,3/6/2021,Mall of Istanbul,000-87-6932,True
I172458,C277842,Female,19,Clothing,2,600.16,Debit Card,17/12/2021,Cevahir AVM,000-37-8835,False
I297270,C183011,Male,62,Clothing,5,1500.4,Credit Card,31/12/2022,Metropol AVM,000-98-3295,True
I153930,C567813,Male,39,Food & Beverage,3,15.69,Cash,9/8/2022,Forum Istanbul,000-49-6537,False
I282854,C282974,Female,33,Clothing,3,900.24,Cash,31/07/2022,Kanyon,000-95-6118,False
I869144,C181972,Female,26,Food & Beverage,4,20.92,Debit Card,4/5/2021,Mall of Istanbul,000-66-8479,False
I283443,C189493,Male,43,Technology,3,3150.0,Credit Card,25/05/2022,Viaport Outlet,000-67-1982,True
I193271,C242748,Female,40,Food & Beverage,3,15.69,Debit Card,23/12/2022,Kanyon,000-41-3681,False
I985478,C324683,Male,55,Clothing,4,1200.32,Credit Card,24/01/2023,Kanyon,000-18-5539,False
I200392,C307921,Female,24,Clothing,5,1500.4,Credit Card,14/09/2021,Viaport Outlet,000-12-9638,False
I256691,C152549,Male,24,Cosmetics,1,40.66,Cash,4/2/2022,Metrocity,000-80-3770,True
I796162,C111832,Female,30,Food & Beverage,5,26.15,Credit Card,6/1/2022,Metrocity,000-85-3608,False
I224371,C204174,Male,34,Clothing,5,1500.4,Credit Card,1/2/2022,Mall of Istanbul,000-10-1163,False
I215998,C279370,Female,64,Clothing,5,1500.4,Cash,26/10/2022,Cevahir AVM,000-90-0964,False
I338966,C907582,Female,57,Clothing,5,1500.4,Cash,21/09/2022,Mall of Istanbul,000-39-1104,True
I293215,C166635,Male,18,Cosmetics,4,162.64,Credit Card,12/12/2021,Istinye Park,000-14-5413,True
I149688,C276043,Female,26,Clothing,4,1200.32,Cash,21/08/2021,Zorlu Center,000-19-8423,True
I109649,C282643,Female,19,Food & Beverage,3,15.69,Debit Card,8/10/2021,Emaar Square Mall,000-40-4562,True
I299820,C820515,Female,22,Books,3,45.45,Cash,22/11/2021,Kanyon,000-95-7953,True
I157775,C331761,Male,48,Clothing,1,300.08,Cash,19/03/2022,Kanyon,000-37-8834,True
I317140,C326893,Female,56,Souvenir,5,58.65,Cash,19/10/2022,Istinye Park,000-26-9355,False
I147334,C306395,Male,35,Clothing,2,600.16,Cash,12/1/2022,Viaport Outlet,000-83-7744,False
I278121,C885344,Female,60,Toys,4,143.36,Debit Card,7/6/2021,Metrocity,000-41-7749,True
I134452,C112750,Female,32,Clothing,1,300.08,Credit Card,15/01/2023,Forum Istanbul,000-62-3119,False
I320846,C274870,Male,27,Clothing,4,1200.32,Credit Card,11/11/2021,Kanyon,000-22-1588,True
I740676,C199864,Female,56,Clothing,2,600.16,Credit Card,21/09/2022,Istinye Park,000-94-7062,False
I142331,C997380,Male,35,Cosmetics,4,162.64,Debit Card,30/05/2021,Metrocity,000-55-6939,False
I222983,C132002,Female,68,Clothing,1,300.08,Credit Card,23/12/2021,Metropol AVM,000-62-7651,False
I164665,C255058,Female,64,Technology,2,2100.0,Cash,30/04/2022,Kanyon,000-16-1612,True
I133387,C271799,Female,60,Toys,4,143.36,Cash,7/6/2021,Forum Istanbul,000-17-6596,True
I276763,C765620,Male,64,Toys,5,179.2,Debit Card,21/02/2022,Kanyon,000-53-1790,True
I273890,C891545,Female,41,Clothing,3,900.24,Debit Card,26/08/2021,Emaar Square Mall,000-41-3139,False
I774221,C519513,Male,30,Food & Beverage,5,26.15,Cash,15/12/2021,Metrocity,000-34-8786,True
I202171,C125624,Male,40,Clothing,1,300.08,Debit Card,20/02/2021,Mall of Istanbul,000-67-2296,True
I219780,C658980,Female,29,Clothing,2,600.16,Cash,8/10/2021,Kanyon,000-64-3006,True
I160221,C319231,Male,25,Clothing,3,900.24,Cash,1/8/2022,Mall of Istanbul,000-45-7579,False
I106691,C150594,Female,60,Clothing,4,1200.32,Cash,9/9/2021,Kanyon,000-41-1235,False
I129886,C846730,Female,42,Food & Beverage,5,26.15,Cash,25/10/2021,Metrocity,000-66-9016,False
I745394,C249877,Male,54,Food & Beverage,1,5.23,Cash,14/12/2021,Metropol AVM,000-22-0828,False
I157056,C200826,Female,50,Clothing,5,1500.4,Cash,20/06/2021,Kanyon,000-93-8856,True
I304531,C263874,Male,54,Clothing,1,300.08,Debit Card,7/4/2021,Metropol AVM,000-11-1528,False
I762439,C663463,Female,45,Books,4,60.6,Cash,5/12/2021,Metrocity,000-40-2724,False
I300972,C134370,Female,40,Cosmetics,1,40.66,Credit Card,25/05/2021,Zorlu Center,000-62-7956,False
I151588,C310642,Male,24,Books,3,45.45,Credit Card,12/4/2022,Metrocity,000-71-3502,False
I657069,C651699,Male,40,Clothing,4,1200.32,Cash,16/12/2021,Mall of Istanbul,000-61-0960,False
I122655,C989693,Female,32,Technology,2,2100.0,Credit Card,21/02/2021,Metropol AVM,000-31-6209,True
I236914,C123581,Female,28,Clothing,3,900.24,Cash,26/10/2021,Mall of Istanbul,000-10-6396,False
I247471,C192446,Female,22,Toys,1,35.84,Cash,18/12/2022,Mall of Istanbul,000-43-7454,True
I362306,C143343,Female,21,Clothing,1,300.08,Credit Card,19/09/2022,Metrocity,000-46-6930,False
I215279,C223343,Female,31,Clothing,2,600.16,Credit Card,1/2/2023,Kanyon,000-99-9105,False
I216061,C309082,Female,61,Food & Beverage,3,15.69,Credit Card,5/10/2022,Mall of Istanbul,000-94-7973,True
I246375,C236365,Female,67,Cosmetics,2,81.32,Cash,28/11/2021,Kanyon,000-29-3111,False
I103596,C178734,Male,52,Shoes,5,3000.85,Cash,3/8/2021,Kanyon,000-47-3566,False
I259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,12/10/2022,Metropol AVM,000-17-9489,False
I206422,C289933,Female,48,Food & Beverage,2,10.46,Credit Card,28/09/2022,Kanyon,000-79-0998,False
I201704,C340116,Female,53,Food & Beverage,3,15.69,Cash,12/7/2021,Metrocity,000-50-0936,False
I168037,C816586,Male,27,Toys,4,143.36,Cash,3/7/2021,Mall of Istanbul,000-16-9571,False
I307534,C434171,Female,28,Cosmetics,4,162.64,Cash,26/03/2022,Viaport Outlet,000-71-8238,True
I259196,C215384,Female,43,Toys,4,143.36,Credit Card,17/05/2022,Cevahir AVM,000-77-2579,False
I141241,C143442,Male,54,Souvenir,5,58.65,Credit Card,11/4/2022,Kanyon,000-17-8320,False
I289973,C102926,Male,41,Food & Beverage,5,26.15,Credit Card,22/10/2021,Kanyon,000-20-3044,True
I147203,C340063,Female,59,Cosmetics,5,203.3,Cash,20/12/2021,Istinye Park,000-18-9749,True
I323788,C131786,Female,32,Clothing,1,300.08,Credit Card,17/03/2022,Metropol AVM,000-18-3853,False
I285454,C194380,Female,41,Souvenir,5,58.65,Credit Card,23/06/2022,Metropol AVM,000-61-1964,False
I288152,C269623,Female,30,Technology,3,3150.0,Debit Card,19/06/2021,Mall of Istanbul,000-82-4033,False
I134126,C847171,Male,22,Clothing,1,300.08,Debit Card,30/08/2022,Istinye Park,000-84-9740,True
I311052,C556552,Female,51,Clothing,4,1200.32,Cash,20/11/2021,Cevahir AVM,000-15-1343,False
I176469,C876528,Female,23,Food & Beverage,2,10.46,Credit Card,31/07/2021,Viaport Outlet,000-63-9562,False
I167993,C303493,Male,40,Toys,2,71.68,Cash,20/02/2022,Kanyon,000-82-8565,False
I222086,C978718,Male,37,Clothing,5,1500.4,Cash,9/2/2023,Emaar Square Mall,000-50-4272,False
I164597,C111766,Female,24,Clothing,1,300.08,Cash,24/03/2021,Mall of Istanbul,000-36-5147,True
I184307,C175946,Male,22,Food & Beverage,1,5.23,Credit Card,25/08/2022,Kanyon,000-40-4351,True
I289905,C160005,Female,61,Cosmetics,4,162.64,Cash,21/10/2021,Kanyon,000-60-2144,True
I416544,C599109,Female,25,Food & Beverage,2,10.46,Credit Card,28/05/2022,Metrocity,000-95-4915,False
I601026,C693789,Female,66,Souvenir,5,58.65,Credit Card,5/3/2022,Zorlu Center,000-68-5180,True
I257890,C259342,Female,59,Shoes,1,600.17,Cash,5/10/2021,Kanyon,000-19-0152,False
I260028,C208108,Male,38,Clothing,4,1200.32,Cash,16/04/2021,Metropol AVM,000-68-9224,False
I170160,C244213,Male,34,Toys,2,71.68,Debit Card,26/02/2023,Metrocity,000-22-1200,False
I624164,C102685,Female,26,Clothing,1,300.08,Cash,20/03/2021,Kanyon,000-78-3492,False
I143353,C244291,Female,59,Souvenir,5,58.65,Cash,15/05/2022,Metrocity,000-74-4345,True
I278401,C162371,Female,53,Toys,1,35.84,Debit Card,31/01/2023,Mall of Istanbul,000-26-5718,True
I402966,C375422,Male,23,Cosmetics,4,162.64,Debit Card,2/10/2021,Viaport Outlet,000-18-4002,False
I244241,C911768,Female,23,Clothing,5,1500.4,Credit Card,3/8/2022,Viaport Outlet,000-57-4669,True
I179048,C270129,Female,66,Technology,3,3150.0,Debit Card,28/03/2021,Cevahir AVM,000-30-7179,False
I165202,C617189,Female,56,Cosmetics,4,162.64,Cash,21/11/2022,Mall of Istanbul,000-79-4956,True
I328321,C271029,Female,38,Souvenir,2,23.46,Credit Card,12/2/2021,Metropol AVM,000-88-8666,False
I417106,C292356,Male,28,Clothing,3,900.24,Cash,3/4/2021,Cevahir AVM,000-11-9086,False
I248153,C329633,Female,44,Food & Beverage,1,5.23,Cash,3/7/2022,Metropol AVM,000-48-1697,True
I112270,C244780,Female,26,Food & Beverage,4,20.92,Cash,14/02/2021,Mall of Istanbul,000-27-4333,True
I318831,C139568,Female,41,Cosmetics,4,162.64,Credit Card,15/07/2022,Viaport Outlet,000-24-1753,True
I258322,C220281,Male,50,Clothing,4,1200.32,Cash,12/7/2021,Viaport Outlet,000-80-2546,False
I334246,C311034,Female,23,Cosmetics,3,121.98,Cash,19/05/2022,Mall of Istanbul,000-44-4616,False
I198233,C584141,Female,31,Cosmetics,4,162.64,Cash,13/02/2023,Metropol AVM,000-87-3450,False
I310819,C221934,Male,26,Cosmetics,5,203.3,Credit Card,27/11/2022,Forum Istanbul,000-53-3335,False
I409288,C513561,Female,56,Food & Beverage,3,15.69,Cash,2/3/2021,Viaport Outlet,000-97-4325,True
I131054,C257990,Female,34,Toys,4,143.36,Cash,16/10/2021,Kanyon,000-74-8004,False
I149521,C168348,Female,29,Clothing,2,600.16,Cash,4/11/2021,Kanyon,000-42-0832,False
I156233,C161285,Female,20,Clothing,1,300.08,Credit Card,11/1/2023,Mall of Istanbul,000-21-6939,False
I295784,C166191,Female,54,Cosmetics,3,121.98,Credit Card,8/6/2022,Forum Istanbul,000-45-0722,True
I255381,C172966,Male,40,Clothing,4,1200.32,Debit Card,24/05/2021,Metrocity,000-10-5464,True
I337719,C320928,Male,40,Cosmetics,5,203.3,Cash,18/01/2021,Istinye Park,000-26-4291,True
I220863,C131497,Male,21,Books,4,60.6,Cash,22/07/2021,Mall of Istanbul,000-30-7239,True
I530401,C526660,Female,32,Technology,2,2100.0,Cash,25/09/2022,Zorlu Center,000-80-7007,True
I219555,C266961,Male,47,Clothing,3,900.24,Credit Card,10/9/2021,Metrocity,000-81-0158,True
I316629,C204741,Female,41,Souvenir,3,35.19,Cash,16/01/2022,Cevahir AVM,000-24-1232,True
I795251,C181619,Male,33,Cosmetics,5,203.3,Cash,13/11/2022,Kanyon,000-98-2442,True
I151099,C250395,Female,67,Souvenir,2,23.46,Credit Card,14/03/2021,Mall of Istanbul,000-79-0590,False
I286193,C322994,Male,37,Cosmetics,3,121.98,Cash,23/07/2022,Istinye Park,000-57-9543,False
I399563,C250673,Female,38,Toys,1,35.84,Cash,24/06/2021,Metropol AVM,000-80-2426,True
I229355,C192978,Male,28,Shoes,5,3000.85,Credit Card,30/01/2021,Kanyon,000-65-2088,False
I147727,C163033,Female,38,Books,1,15.15,Credit Card,17/04/2022,Kanyon,000-15-5050,True
I504141,C558480,Female,56,Cosmetics,1,40.66,Credit Card,23/02/2023,Kanyon,000-56-0653,True
I246151,C287409,Male,25,Books,3,45.45,Debit Card,5/7/2021,Metropol AVM,000-55-3441,False
I164675,C993675,Male,66,Books,5,75.75,Cash,31/08/2021,Kanyon,000-97-4088,True
I606511,C307535,Female,37,Souvenir,2,23.46,Credit Card,9/9/2022,Viaport Outlet,000-95-1684,True
I342816,C238961,Female,19,Food & Beverage,2,10.46,Cash,4/11/2021,Mall of Istanbul,000-55-9173,False
I151764,C671866,Female,53,Clothing,5,1500.4,Cash,30/06/2022,Kanyon,000-62-2532,True
I226172,C171154,Female,69,Shoes,1,600.17,Cash,24/07/2021,Kanyon,000-40-2662,False
I737630,C848969,Male,69,Clothing,5,1500.4,Cash,15/04/2022,Metropol AVM,000-32-6755,False
I891311,C240171,Female,31,Food & Beverage,2,10.46,Debit Card,25/09/2021,Metropol AVM,000-13-2938,True
I127733,C665777,Male,39,Books,5,75.75,Cash,24/08/2021,Kanyon,000-52-6745,True
I202398,C256730,Male,53,Shoes,5,3000.85,Cash,26/01/2021,Zorlu Center,000-95-4065,False
I160585,C298229,Male,26,Cosmetics,2,81.32,Cash,5/2/2022,Metropol AVM,000-44-2608,True
I771414,C183404,Male,63,Food & Beverage,3,15.69,Cash,9/12/2022,Forum Istanbul,000-99-1771,False
I139520,C316398,Female,34,Clothing,5,1500.4,Cash,14/02/2021,Mall of Istanbul,000-58-0634,False
I291540,C557245,Male,25,Food & Beverage,1,5.23,Debit Card,17/07/2022,Kanyon,000-70-3644,True
I798213,C662958,Female,20,Shoes,3,1800.51,Cash,3/1/2021,Metropol AVM,000-35-7541,False
I232338,C545065,Female,18,Clothing,4,1200.32,Debit Card,22/09/2022,Metropol AVM,000-54-5000,False
I267713,C284679,Male,53,Cosmetics,4,162.64,Credit Card,27/06/2021,Kanyon,000-39-3652,False
I525798,C581947,Male,46,Cosmetics,4,162.64,Cash,3/2/2023,Mall of Istanbul,000-13-3164,True
I353272,C199311,Female,34,Clothing,1,300.08,Credit Card,29/07/2021,Istinye Park,000-61-5378,True
I165687,C206501,Female,61,Clothing,3,900.24,Cash,8/12/2022,Metropol AVM,000-45-1137,False
I169015,C726021,Female,38,Clothing,5,1500.4,Credit Card,11/8/2022,Mall of Istanbul,000-45-5753,False
I111305,C448846,Female,67,Food & Beverage,3,15.69,Cash,13/09/2021,Metropol AVM,000-92-8346,True
I187171,C168663,Male,33,Toys,4,143.36,Credit Card,27/05/2022,Istinye Park,000-61-8785,False
I148276,C616106,Female,63,Clothing,4,1200.32,Debit Card,7/12/2022,Zorlu Center,000-52-0452,True
I783231,C771066,Female,21,Clothing,5,1500.4,Debit Card,5/1/2022,Cevahir AVM,000-24-4279,True
I313426,C101196,Female,41,Cosmetics,4,162.64,Debit Card,5/4/2022,Kanyon,000-32-9512,False
I112291,C898405,Female,48,Food & Beverage,1,5.23,Credit Card,10/1/2022,Cevahir AVM,000-43-0626,True
I402983,C372643,Male,27,Technology,1,1050.0,Debit Card,30/01/2022,Kanyon,000-23-9774,False
I155076,C195626,Female,22,Toys,5,179.2,Credit Card,21/12/2022,Kanyon,000-65-5663,False
I204056,C622748,Female,54,Clothing,4,1200.32,Credit Card,24/02/2021,Metropol AVM,000-50-7149,False
I218385,C290280,Female,51,Toys,1,35.84,Cash,19/07/2022,Metrocity,000-87-8379,True
I198698,C281268,Female,29,Clothing,1,300.08,Debit Card,15/01/2023,Metropol AVM,000-24-6311,True
I428118,C826744,Female,44,Shoes,2,1200.34,Credit Card,12/1/2023,Kanyon,000-83-3114,True
I204147,C252021,Female,20,Shoes,3,1800.51,Credit Card,5/11/2022,Kanyon,000-42-0727,True
I361028,C647656,Female,59,Shoes,2,1200.34,Cash,23/07/2021,Metrocity,000-65-0027,True
I915945,C250065,Female,23,Clothing,4,1200.32,Credit Card,30/06/2022,Metropol AVM,000-76-8821,False
I165461,C230766,Female,25,Clothing,1,300.08,Credit Card,1/11/2022,Emaar Square Mall,000-97-3228,False
I762381,C243515,Male,63,Shoes,1,600.17,Cash,27/10/2022,Kanyon,000-56-7066,False
I818298,C204632,Male,21,Clothing,5,1500.4,Debit Card,21/08/2022,Kanyon,000-18-5409,True
I261290,C252598,Female,56,Clothing,3,900.24,Credit Card,13/03/2021,Cevahir AVM,000-89-5143,False
I215578,C866033,Male,39,Cosmetics,2,81.32,Credit Card,4/8/2022,Kanyon,000-94-2041,True
I136666,C288416,Male,50,Food & Beverage,2,10.46,Credit Card,1/4/2021,Mall of Istanbul,000-48-8308,True
I120948,C340089,Female,54,Shoes,4,2400.68,Debit Card,8/8/2021,Mall of Istanbul,000-49-6691,False
I173679,C555040,Male,27,Technology,3,3150.0,Credit Card,28/06/2021,Viaport Outlet,000-51-6592,True
I638275,C809281,Male,56,Clothing,5,1500.4,Credit Card,25/01/2021,Emaar Square Mall,000-99-4844,False
I551237,C375325,Female,53,Clothing,4,1200.32,Cash,22/11/2021,Metropol AVM,000-80-2085,False
I239285,C155335,Female,62,Cosmetics,3,121.98,Credit Card,13/11/2022,Viaport Outlet,000-34-6888,True
I723062,C225051,Female,42,Clothing,4,1200.32,Credit Card,12/8/2022,Kanyon,000-95-6211,True
I353329,C635016,Female,68,Toys,2,71.68,Credit Card,18/09/2022,Metrocity,000-96-2851,False
I321920,C165705,Male,27,Clothing,4,1200.32,Cash,8/6/2021,Mall of Istanbul,000-88-9324,False
I176115,C709571,Male,39,Cosmetics,4,162.64,Cash,30/08/2021,Viaport Outlet,000-48-6653,True
I251743,C851508,Male,44,Toys,3,107.52,Debit Card,19/06/2022,Kanyon,000-80-0006,False
